log_id,api_id,request_time,response_time_ms,status_code,request_method,payload_size_kb,cpu_usage,memory_usage,request_count,error_message,server_region,is_error,performance_category
1,21,2026-05-24 19:32:20,16.11,404,GET,8.105,9.7,15.34,2,Resource Not Found: Endpoint entity collection does not exist,Eu-West-1,True,Fast
2,250,2026-05-13 07:35:15,397.88,204,DELETE,1.028,37.95,21.14,1,No Error,Us-East-1,False,Moderate
3,165,2026-05-25 06:49:45,21.03,200,GET,6.942,8.23,12.05,5,No Error,Sa-East-1,False,Fast
4,191,2026-05-25 06:08:52,18.83,204,POST,1656.302,2.88,51.9,1,No Error,Ap-Southeast-1,False,Fast
5,92,2026-05-08 23:26:23,25401.85,503,POST,860.113,94.26,95.29,1,Service Unavailable: Downstream database connection pool timeout,Us-East-1,True,Slow
6,54,2026-05-14 16:19:03,26.44,401,GET,12.432,7.23,26.98,1,Unauthorized: Signature mismatch or expired bearer token,Us-East-1,True,Fast
7,22,2026-05-05 14:11:55,134.08,200,DELETE,0.734,20.55,47.16,1,No Error,Sa-East-1,False,Fast
8,120,2026-05-23 06:43:05,63.71,400,GET,7.073,3.19,10.19,1,Bad Request: Invalid JSON payload structure,Ap-Southeast-1,True,Fast
9,207,2026-05-09 02:57:49,247.86,204,PATCH,438.525,19.73,24.1,1,No Error,Ap-Southeast-1,False,Moderate
10,13,2026-05-24 19:03:41,29.36,500,PUT,140.23,9.48,25.1,12,    CRITICAL_TELEMETRY_DROP_OUT,Us-West-2,True,Fast
11,107,2026-05-17 19:01:55,165.33,200,PUT,993.063,30.58,29.95,1,No Error,Sa-East-1,False,Fast
12,237,2026-05-24 22:06:45,71.21,400,GET,4.27,3.53,17.09,1,Bad Request: Invalid JSON payload structure,Us-East-1,True,Fast
13,101,2026-05-16 15:46:33,80.43,401,GET,10.937,8.25,23.1,1,Unauthorized: Signature mismatch or expired bearer token,Sa-East-1,True,Fast
14,103,2026-05-25 18:15:47,331.73,204,PUT,3545.251,7.18,41.13,1,No Error,Sa-East-1,False,Moderate
15,69,2026-05-01 04:16:21,361.31,204,PUT,1921.416,28.84,20.68,1,No Error,Sa-East-1,False,Moderate
16,198,2026-05-20 15:57:02,36.5,200,DELETE,2.069,37.27,39.17,1,No Error,Us-West-2,False,Fast
17,72,2026-05-06 19:13:53,318.08,200,PATCH,2241.522,28.85,39.4,1,No Error,Us-East-1,False,Moderate
18,221,2026-05-03 08:42:19,206.58,201,GET,11.28,31.49,48.37,1,No Error,Eu-West-1,False,Moderate
19,7,2026-05-03 20:09:25,133.48,204,DELETE,9.966,20.38,43.21,1,No Error,Us-East-1,False,Fast
20,57,2026-05-25 13:55:51,323.74,201,DELETE,2.135,18.95,52.08,1,No Error,Us-East-1,False,Moderate
21,109,2026-05-01 18:55:30,231.01,200,GET,3.884,12.5,37.01,1,No Error,Us-West-2,False,Moderate
22,229,2026-05-15 14:16:29,58.91,201,POST,2648.387,11.52,23.73,1,No Error,Us-West-2,False,Fast
23,67,2026-05-12 23:28:00,19.63,403,POST,2010.713,2.25,21.83,1,Forbidden: Client lacks required read/write scopes,Us-East-1,True,Fast
24,20,2026-05-05 07:50:07,118.94,200,PUT,911.34,1.18,49.46,1,No Error,Ap-Southeast-1,False,Fast
25,182,2026-05-18 23:55:03,270.89,200,PUT,1275.483,29.07,23.28,1,No Error,Ap-Southeast-1,False,Moderate
26,27,2026-05-17 04:02:13,75.89,429,DELETE,6.655,6.83,16.43,1,Rate Limit Exceeded: Threshold of 100 req/sec breached,Eu-West-1,True,Fast
27,197,2026-05-06 08:27:03,60.29,400,GET,6.438,8.77,26.39,1,No Error,Sa-East-1,True,Fast
28,152,2026-05-10 16:17:33,154.21,200,POST,3582.513,24.49,45.2,1,No Error,Ap-Southeast-1,False,Fast
29,59,2026-05-16 22:25:58,134.51,200,PATCH,129.761,21.87,17.85,1,No Error,Us-East-1,False,Fast
30,19,2026-05-10 18:48:22,21.06,429,DELETE,9.763,9.85,12.01,1,Rate Limit Exceeded: Threshold of 100 req/sec breached,Us-West-2,True,Fast
31,66,2026-05-18 23:14:36,165.0,200,PUT,1942.227,37.94,31.59,2,No Error,Us-East-1,False,Fast
32,124,2026-05-20 07:26:30,379.69,200,PATCH,1617.49,4.34,32.93,1,No Error,Us-East-1,False,Moderate
33,92,2026-05-16 02:34:52,35.35,200,PUT,1624.908,16.34,44.85,1,No Error,Eu-West-1,False,Fast
34,216,2026-05-07 03:39:55,7.02,400,GET,5.637,3.51,16.01,1,Bad Request: Invalid JSON payload structure,Ap-Southeast-1,True,Fast
35,122,2026-05-17 01:06:20,238.09,200,PUT,3286.238,34.93,41.49,2,No Error,Eu-West-1,False,Moderate
36,224,2026-05-18 17:35:55,435.51,204,PATCH,1629.337,32.08,12.86,1,No Error,Us-East-1,False,Moderate
37,245,2026-05-11 06:25:40,84.57,200,GET,8.909,31.26,14.25,1,No Error,Us-East-1,False,Fast
38,48,2026-05-11 19:46:45,-1.0,200,PUT,2781.16,-99.0,0.0,1,No Error,Us-East-1,False,Fast
39,146,2026-05-09 21:32:01,219.62,200,DELETE,2.657,25.18,50.1,1,No Error,Us-East-1,False,Moderate
40,114,2026-05-16 19:14:13,209.76,204,GET,9.729,37.99,48.97,2,No Error,Us-East-1,False,Moderate
41,74,2026-05-07 10:55:12,78.35,204,PATCH,685.69,15.77,21.98,1,No Error,Us-West-2,False,Fast
42,136,2026-05-20 15:46:12,374.83,200,POST,3844.883,7.57,15.0,1,No Error,Sa-East-1,False,Moderate
43,151,2026-05-20 13:09:02,385.06,204,POST,1871.66,29.62,12.15,1,No Error,Us-East-1,False,Moderate
44,13,2026-05-03 07:55:26,62.27,200,PUT,1380.53,2.37,21.68,2,No Error,Us-East-1,False,Fast
45,128,2026-05-05 18:10:18,117.94,201,POST,1656.831,3.83,31.11,1,No Error,Us-West-2,False,Fast
46,235,2026-05-19 19:31:35,134.94,200,PATCH,2758.939,38.32,51.58,1,No Error,Eu-West-1,False,Fast
47,143,2026-05-09 11:12:13,71.07,201,PATCH,1197.251,4.21,15.99,1,No Error,Us-West-2,False,Fast
48,7,2026-05-03 18:52:08,46.33,403,DELETE,12.118,7.84,22.68,1,Forbidden: Client lacks required read/write scopes,Us-West-2,True,Fast
49,114,2026-05-16 23:48:04,41.77,200,POST,3623.151,32.8,41.38,1,No Error,Sa-East-1,False,Fast
50,143,2026-05-09 21:41:57,413.08,200,DELETE,1.581,34.32,45.0,1,No Error,Us-West-2,False,Moderate
51,55,2026-05-09 23:12:41,377.18,200,GET,11.187,22.01,48.23,1,No Error,Eu-West-1,False,Moderate
52,38,2026-05-16 19:36:59,262.16,204,DELETE,7.652,7.51,12.83,2,No Error,Us-West-2,False,Moderate
53,79,2026-05-22 17:20:50,25.08,500,PATCH,2560.57,11.79,12.09,1,    CRITICAL_TELEMETRY_DROP_OUT,Sa-East-1,True,Fast
54,81,2026-05-17 02:39:17,221.69,200,GET,3.792,8.71,12.9,1,No Error,Ap-Southeast-1,False,Moderate
55,29,2026-05-06 03:06:05,125.66,200,GET,5.196,5.78,38.77,1,No Error,Us-East-1,False,Fast
56,22,2026-05-03 18:47:07,17061.2,503,POST,3267.3,93.15,96.76,1,Service Unavailable: Downstream database connection pool timeout,Us-West-2,True,Slow
57,40,2026-05-02 03:12:56,99999.99,400,GET,1.326,-99.0,0.0,1,No Error,Us-East-1,True,Slow
58,155,2026-05-15 02:09:28,95.21,200,POST,3681.886,33.49,16.47,2,No Error,Us-East-1,False,Fast
59,60,2026-05-24 05:51:30,12.33,401,GET,6.539,8.56,14.07,1,Unauthorized: Signature mismatch or expired bearer token,Us-West-2,True,Fast
60,19,2026-05-04 13:41:41,42.14,204,GET,1.696,14.87,28.37,1,No Error,Us-East-1,False,Fast
61,220,2026-05-06 18:21:03,42.5,404,POST,2050.329,5.58,16.91,2,Resource Not Found: Endpoint entity collection does not exist,Sa-East-1,True,Fast
62,156,2026-05-08 05:32:32,120.92,204,PATCH,3343.877,30.37,40.81,1,No Error,Ap-Southeast-1,False,Fast
63,153,2026-05-21 06:35:00,327.69,200,GET,5.696,30.35,47.21,1,No Error,Sa-East-1,False,Moderate
64,150,2026-05-13 04:05:10,157.81,200,POST,418.469,34.35,12.62,2,No Error,Us-West-2,False,Fast
65,175,2026-05-19 21:23:11,275.24,201,POST,74.097,17.06,25.1,1,No Error,Ap-Southeast-1,False,Moderate
66,204,2026-05-06 20:44:50,52.18,204,DELETE,4.125,2.94,42.64,1,No Error,Eu-West-1,False,Fast
67,97,2026-05-07 03:10:15,50.15,429,GET,5.781,11.66,12.84,1,Rate Limit Exceeded: Threshold of 100 req/sec breached,Ap-Southeast-1,True,Fast
68,217,2026-05-07 21:14:23,148.45,200,GET,2.544,16.03,23.02,1,No Error,Sa-East-1,False,Fast
69,221,2026-05-17 06:32:31,26242.1,500,DELETE,4.869,99.52,96.18,1,Internal Server Error: NullPointerException in controller execution layer,Eu-West-1,True,Slow
70,69,2026-05-12 02:57:28,133.16,201,GET,1.457,7.97,49.66,1,No Error,Ap-Southeast-1,False,Fast
