usage_id,user_id,api_id,usage_date,total_requests,successful_requests,failed_requests,success_rate,error_rate
1,3611,30,2026-01-01,8041494,7636240,405254,94.96046381431113,5.0395361856888785
2,688,26,2026-04-09,2915,2881,34,98.8336192109777,1.1663807890222984
3,130,89,2026-03-24,3976,3854,122,96.93158953722335,3.0684104627766597
4,1500,183,2026-01-15,129,126,3,97.67441860465115,2.3255813953488373
5,2047,17,2026-03-27,0,0,0,0.0,0.0
6,729,132,2026-03-16,386,381,5,98.70466321243524,1.2953367875647668
7,2478,124,2026-04-19,2920,2882,38,98.6986301369863,1.3013698630136987
8,1639,117,2026-04-23,4353,4209,144,96.69193659545141,3.308063404548587
9,579,2,2026-02-12,2,0,2,0.0,100.0
10,1344,20,2026-03-13,1772,1760,12,99.32279909706546,0.6772009029345373
11,909,245,2026-03-09,54,53,1,98.14814814814815,1.8518518518518516
12,1267,77,2026-04-19,1276,1227,49,96.15987460815047,3.8401253918495297
13,4613,99,2026-04-08,2873,2802,71,97.52871562826314,2.47128437173686
14,3835,122,2026-01-06,3867,3699,168,95.65554693560901,4.344453064391001
15,1393,113,2026-04-04,4263,4090,173,95.94182500586442,4.058174994135586
16,1015,200,2026-01-24,3420,3346,74,97.83625730994152,2.1637426900584797
17,4341,27,2026-04-17,3984,3909,75,98.11746987951807,1.8825301204819278
18,2093,165,2026-01-25,529,160,369,30.245746691871457,69.75425330812854
20,3660,185,2026-01-10,653,641,12,98.16232771822358,1.8376722817764166
21,2345,206,2026-01-05,1807,1762,45,97.50968456004428,2.4903154399557277
22,2597,79,2026-05-01,3785,3773,12,99.68295904887715,0.31704095112285335
23,599,177,2026-02-24,1663,1655,8,99.5189416716777,0.4810583283223091
24,3765,129,2026-01-31,2969,2831,138,95.35197036039071,4.648029639609296
25,3451,45,2026-03-16,1675,1650,25,98.50746268656717,1.4925373134328357
26,4378,40,2026-03-05,2129,1633,496,76.70267731329263,23.297322686707375
27,2735,36,2026-01-17,403,391,12,97.02233250620348,2.977667493796526
28,4474,18,2026-02-04,0,0,0,0.0,0.0
29,9222,9400,2026-04-05,35,35,0,100.0,0.0
30,3458,82,2026-02-04,8,0,8,0.0,100.0
31,3278,220,2026-03-14,2277,2218,59,97.4088713219148,2.5911286780852
33,2523,1,2026-01-10,3943,3866,77,98.04717220390565,1.9528277960943443
34,3929,48,2026-02-21,3925,3895,30,99.23566878980891,0.7643312101910829
35,4920,89,2026-01-27,1394,1358,36,97.41750358680056,2.582496413199426
36,3748,206,2026-02-04,0,0,0,0.0,0.0
37,850,7,2026-02-16,3907,3895,12,99.69285897107756,0.3071410289224469
38,4818,85,2026-02-14,2382,2347,35,98.53064651553316,1.4693534844668346
39,2709,145,2026-02-07,4618,4574,44,99.04720658293633,0.9527934170636638
40,2286,19,2026-03-10,1397,1283,114,91.83965640658555,8.16034359341446
41,2739,234,2026-02-11,3762,3712,50,98.6709197235513,1.3290802764486975
43,1269,81,2026-03-08,16926178,16598346,327832,98.06316582514965,1.9368341748503413
44,566,217,2026-04-08,0,0,0,0.0,0.0
45,4750,57,2026-02-14,4141,4124,17,99.58947114223618,0.4105288577638252
46,149,175,2026-02-04,65,61,4,93.84615384615384,6.153846153846154
47,559,38,2026-03-10,4,0,4,0.0,100.0
48,4149,194,2026-03-06,3230,3093,137,95.75851393188854,4.241486068111455
49,4602,145,2026-03-10,4918,4711,207,95.79097193981293,4.209028060187068
50,563,239,2026-02-17,3355,3207,148,95.5886736214605,4.411326378539494
51,581,81,2026-01-30,1633,1605,28,98.28536436007347,1.7146356399265157
52,3112,151,2026-05-03,10,0,10,0.0,100.0
53,1983,178,2026-04-12,254,244,10,96.06299212598425,3.937007874015748
54,3043,107,2026-01-23,621,602,19,96.94041867954911,3.059581320450886
55,1610,214,2026-03-19,4495,4331,164,96.35150166852058,3.6484983314794217
56,1086,173,2026-04-27,2096,2028,68,96.7557251908397,3.2442748091603053
57,4915,120,2026-02-16,4906,4728,178,96.37178964533226,3.628210354667754
58,3344,200,2026-02-17,1928,1901,27,98.59958506224066,1.4004149377593362
59,4777,69,2026-01-16,0,0,0,0.0,0.0
60,4375,147,2026-03-17,0,0,0,0.0,0.0
61,2973,215,2026-04-29,2245,2166,79,96.48106904231626,3.5189309576837413
62,3743,234,2026-01-22,36,35,1,97.22222222222221,2.7777777777777777
63,3348,62,2026-01-25,3645,3596,49,98.65569272976681,1.3443072702331962
64,1428,91,2026-04-05,7,0,7,0.0,100.0
65,4906,151,2026-03-03,3943,3842,101,97.438498605123,2.561501394876997
67,3845,125,2026-01-13,4485,4360,125,97.21293199554069,2.787068004459309
68,2097,62,2026-03-31,345,135,210,39.130434782608695,60.86956521739131
69,4278,91,2026-02-04,0,0,0,0.0,0.0
70,3815,82,2026-02-26,4309,4286,23,99.46623346484103,0.5337665351589695
71,3795,22,2026-01-10,461,140,321,30.36876355748373,69.63123644251627
72,1415,97,2026-02-04,0,0,0,0.0,0.0
73,2589,155,2026-01-13,380,379,1,99.73684210526315,0.2631578947368421
74,3474,83,2026-02-13,2532,2408,124,95.10268562401264,4.897314375987362
75,4725,232,2026-03-29,76,76,0,100.0,0.0
76,2594,238,2026-04-20,2048,2033,15,99.267578125,0.732421875
77,1592,157,2026-02-04,0,0,0,0.0,0.0
78,3565,101,2026-02-03,1488,1226,262,82.39247311827957,17.607526881720432
79,2345,41,2026-01-21,3375,3349,26,99.22962962962963,0.7703703703703704
80,4467,236,2026-02-15,4465,4419,46,98.96976483762599,1.0302351623740202
81,199,141,2026-02-21,7,0,7,0.0,100.0
82,3123,183,2026-04-24,1236,827,409,66.9093851132686,33.09061488673139
83,1946,178,2026-02-08,1277,1100,177,86.13938919342208,13.860610806577917
84,4255,133,2026-02-27,7155648,6896926,258722,96.3843665870652,3.6156334129347893
85,214,205,2026-04-19,502,419,83,83.46613545816733,16.533864541832667
86,3509,46,2026-03-09,1131,1079,52,95.40229885057471,4.597701149425287
87,4429,206,2026-02-12,4934,4902,32,99.35143899473044,0.6485610052695582
88,3531,221,2026-04-06,0,0,0,0.0,0.0
89,3599,59,2026-02-26,2055,1978,77,96.25304136253041,3.7469586374695862
90,1280,209,2026-03-22,4608,4545,63,98.6328125,1.3671875
91,1785,52,2026-03-13,22529180,22352542,176638,99.21595903623655,0.7840409637634392
92,2807,186,2026-02-04,6,0,6,0.0,100.0
93,4534,5,2026-01-03,2985,2864,121,95.9463986599665,4.053601340033501
94,91,107,2026-02-24,4079,3993,86,97.89164010786958,2.108359892130424
95,4776,133,2026-02-04,0,0,0,0.0,0.0
96,4840,5,2026-01-03,2402,2319,83,96.54454621149043,3.4554537885095757
97,3706,147,2026-04-20,2016,1977,39,98.06547619047619,1.9345238095238095
98,3534,101,2026-01-15,3390,3360,30,99.11504424778761,0.8849557522123894
99,593,234,2026-04-11,3028,2909,119,96.07001321003963,3.92998678996037
101,4242,5,2026-04-27,649,155,494,23.882896764252695,76.11710323574731
102,2363,227,2026-01-24,1899,1819,80,95.78725645076356,4.21274354923644
103,507,229,2026-02-07,2003,1959,44,97.80329505741388,2.196704942586121
104,1321,107,2026-03-24,2563,2497,66,97.42489270386267,2.575107296137339
105,2394,214,2026-03-25,2681,2554,127,95.26296158149944,4.73703841850056
106,1520,180,2026-01-05,2527,2448,79,96.87376335575782,3.126236644242184
107,148,109,2026-01-21,3571,3456,115,96.77961355362643,3.2203864463735647
108,771,245,2026-04-24,665,638,27,95.93984962406014,4.06015037593985
110,3325,28,2026-03-13,4249,4179,70,98.35255354200989,1.6474464579901154
111,4392,49,2026-03-25,4251,4230,21,99.50599858856741,0.4940014114326041
112,4202,33,2026-03-23,603,584,19,96.84908789386401,3.150912106135987
113,3948,68,2026-04-19,635,633,2,99.68503937007874,0.31496062992125984
114,87,91,2026-01-05,4865,4717,148,96.9578622816033,3.0421377183967113
115,3653,180,2026-03-12,1477,1409,68,95.3960731211916,4.603926878808395
116,4115,213,2026-03-28,4757,4562,195,95.90077780113518,4.0992221988648305
117,265,170,2026-03-15,2774,2654,120,95.67411679884643,4.325883201153569
118,1741,23,2026-03-08,2007,1914,93,95.3662182361734,4.633781763826607
119,9086,9304,2026-03-13,0,0,0,0.0,0.0
120,148,101,2026-02-28,727,720,7,99.03713892709766,0.9628610729023385
121,2742,91,2026-02-19,2918,2817,101,96.53872515421523,3.461274845784784
122,1095,116,2026-02-15,1041,1036,5,99.51969260326608,0.48030739673390976
123,1299,9,2026-03-21,2793,2715,78,97.20730397422128,2.7926960257787328
124,674,129,2026-04-12,3576,3456,120,96.64429530201343,3.3557046979865772
125,3445,235,2026-02-10,421,327,94,77.67220902612827,22.327790973871732
126,4707,59,2026-04-01,3478,3449,29,99.1661874640598,0.8338125359401954
127,4093,168,2026-01-18,3117,3039,78,97.49759384023099,2.5024061597690084
128,4717,99,2026-02-09,4679,4615,64,98.63218636460782,1.3678136353921777
129,1077,245,2026-03-31,2149,2083,66,96.92880409492788,3.0711959050721265
130,1374,40,2026-03-19,4768,4539,229,95.1971476510067,4.802852348993288
131,2142,108,2026-02-17,417,399,18,95.68345323741008,4.316546762589928
132,72,130,2026-01-05,1626,1577,49,96.98646986469865,3.013530135301353
133,3178,167,2026-04-23,2322,2286,36,98.44961240310077,1.550387596899225
134,3150,107,2026-02-04,77,77,0,100.0,0.0
135,1598,203,2026-02-10,786,771,15,98.09160305343512,1.9083969465648856
136,3499,76,2026-02-19,3357,3244,113,96.63389931486446,3.3661006851355375
137,4978,44,2026-02-28,4665,4582,83,98.2207931404073,1.7792068595927117
138,1500,16,2026-02-18,4662,4557,105,97.74774774774775,2.2522522522522523
139,1087,61,2026-02-04,77,77,0,100.0,0.0
140,4549,114,2026-04-24,2580,2466,114,95.5813953488372,4.4186046511627906
141,1359,185,2026-04-16,4598,4541,57,98.7603305785124,1.2396694214876034
142,2134,195,2026-02-05,3701,3685,16,99.56768440961902,0.4323155903809781
143,4017,225,2026-03-27,401,400,1,99.75062344139651,0.24937655860349126
144,1736,98,2026-01-17,3378,3220,158,95.32267613972765,4.677323860272351
145,1552,40,2026-04-19,2382,2338,44,98.15281276238456,1.8471872376154492
146,4747,138,2026-02-25,3857,3847,10,99.74073113819031,0.25926886180969666
147,4741,197,2026-03-03,3212,3197,15,99.53300124533001,0.4669987546699875
148,4978,220,2026-01-07,8854824,8703729,151095,98.29364197413749,1.706358025862513
149,1063,32,2026-03-02,3044,2913,131,95.69645203679369,4.303547963206308
150,173,21,2026-04-10,0,0,0,0.0,0.0
151,3472,176,2026-04-13,2423,2347,76,96.86339248865043,3.1366075113495664
