user_id,username,company_name,subscription_type,country,signup_date
1,jack_r_1,Vehement Capital,Enterprise,France,2025-01-13 00:00:00.000000
2,grace_h_2,Hooli,Enterprise,Germany,2024-02-10 00:00:00.000000
3,jack_r_3,Cyberdyne Systems,Enterprise,Australia,2023-10-05 00:00:00.000000
4,bob.smith_4,Umbrella Corp,Premium,Canada,2025-12-09 00:00:00.000000
5,david.l_5,Acme Corp,Basic,Japan,2024-09-20 00:00:00.000000
6,henry.m_6,Cyberdyne Systems,Premium,Germany,2023-07-25 00:00:00.000000
7,iris_p_7,Unknowm,Basic,France,2024-03-18 00:00:00.000000
8,emma.v_8,Wayne Enterprises,Free,France,2022-08-16 00:00:00.000000
9,iris_p_9,Vehement Capital,Basic,United States,2022-01-28 00:00:00.000000
10,alice_w_10,Umbrella Corp,Basic,Canada,2024-02-24 00:00:00.000000
11,emma.v_11,Acme Corp,Premium,United Kingdom,2025-11-01 00:00:00.000000
12,david.l_5,Stark Industries,Free,United Kingdom,2022-07-03 00:00:00.000000
13,charlie_k_13,Stark Industries,Free,United Kingdom,2025-06-23 00:00:00.000000
14,iris_p_14,Stark Industries,Basic,United States,2022-12-21 00:00:00.000000
15,frank_g_15,Umbrella Corp,Free,Germany,2025-05-26 00:00:00.000000
16,emma.v_16,Cyberdyne Systems,Basic,United Kingdom,2023-08-06 00:00:00.000000
17,iris_p_17,Vehement Capital,Premium,United States,2022-04-06 00:00:00.000000
18,frank_g_18,Globex,Premium,Australia,2023-12-16 00:00:00.000000
19,henry.m_19,Tyrell Corp,Free,United Kingdom,2022-01-26 00:00:00.000000
20,emma.v_20,Initech,Premium,United Kingdom,2022-03-13 00:00:00.000000
21,grace_h_21,Cyberdyne Systems,Free,Germany,2022-08-14 00:00:00.000000
22,cléo.b_22,Cyberdyne Systems,Basic,Canada,2024-01-22 00:00:00.000000
23,henry.m_19,Stark Industries,Free,United Kingdom,2022-12-08 00:00:00.000000
24,grace_h_24,Umbrella Corp,Enterprise,India,2025-07-17 00:00:00.000000
25,josé_m_25,Acme Corp,Free,Germany,2022-07-24 00:00:00.000000
26,grace_h_26,Acme Corp,Premium,United Kingdom,2023-05-19 00:00:00.000000
27,müller_a_27,Globex,Free,Germany,2023-05-29 00:00:00.000000
28,cléo.b_28,Cyberdyne Systems,Enterprise,Canada,2022-07-06 00:00:00.000000
29,grace_h_29,Acme Corp,Premium,Singapore,2023-05-13 00:00:00.000000
30,jack_r_30,Hooli,Basic,India,2023-03-10 00:00:00.000000
31,frank_g_31,Initech,Enterprise,Canada,2024-12-29 00:00:00.000000
32,charlie_k_32,Acme Corp,Free,Japan,2022-06-14 00:00:00.000000
33,jack_r_33,Cyberdyne Systems,Premium,Canada,2025-07-02 00:00:00.000000
34,grace_h_34,Initech,Free,Australia,2024-12-09 00:00:00.000000
35,frank_g_35,Stark Industries,Basic,Singapore,2024-08-18 00:00:00.000000
36,david.l_36,Vehement Capital,Free,Japan,2024-03-03 00:00:00.000000
37,jack_r_37,Umbrella Corp,Enterprise,Germany,2024-02-12 00:00:00.000000
38,alice_w_38,Unknowm,Premium,Singapore,2025-08-09 00:00:00.000000
39,bob.smith_39,Wayne Enterprises,Enterprise,Brazil,2024-10-17 00:00:00.000000
40,renee_s_40,Tyrell Corp,Free,United States,2025-02-16 00:00:00.000000
41,iris_p_41,Unknowm,Free,Unknown,2024-10-01 00:00:00.000000
42,charlie_k_42,Initech,Enterprise,France,2022-09-30 00:00:00.000000
43,emma.v_43,Cyberdyne Systems,Basic,Japan,2023-01-14 00:00:00.000000
44,henry.m_44,Umbrella Corp,Basic,India,2023-05-15 00:00:00.000000
45,david.l_45,Cyberdyne Systems,Enterprise,Singapore,2025-01-27 00:00:00.000000
46,iris_p_46,Vehement Capital,Basic,France,2025-04-30 00:00:00.000000
47,david.l_47,Acme Corp,Premium,Brazil,2024-11-16 00:00:00.000000
48,bob.smith_48,Wayne Enterprises,Premium,Japan,2023-12-11 00:00:00.000000
49,charlie_k_49,Stark Industries,Enterprise,Japan,2025-10-29 00:00:00.000000
50,bob.smith_50,Acme Corp,Premium,Germany,2024-06-30 00:00:00.000000
51,bob.smith_51,Globex,Enterprise,United States,2024-05-26 00:00:00.000000
52,alice_w_52,Cyberdyne Systems,Enterprise,Australia,2023-12-29 07:11:03.040791
53,henry.m_53,Cyberdyne Systems,Premium,India,2022-02-22 00:00:00.000000
54,frank_g_54,Unknowm,Free,Brazil,2023-06-29 00:00:00.000000
55,bob.smith_48,Hooli,Enterprise,France,2023-08-21 00:00:00.000000
56,charlie_k_56,Acme Corp,Premium,Japan,2024-02-04 00:00:00.000000
57,charlie_k_57,Vehement Capital,Premium,United States,2023-03-20 00:00:00.000000
58,charlie_k_58,Initech,Basic,Singapore,2025-12-01 00:00:00.000000
59,alice_w_59,Vehement Capital,Basic,Japan,2023-10-15 00:00:00.000000
60,alice_w_60,Umbrella Corp,Free,Singapore,2022-09-11 00:00:00.000000
61,david.l_61,Wayne Enterprises,Premium,United States,2022-09-14 00:00:00.000000
62,david.l_62,Stark Industries,Free,United States,2024-03-04 00:00:00.000000
63,frank_g_63,Vehement Capital,Free,France,2025-03-06 00:00:00.000000
64,charlie_k_64,Wayne Enterprises,Free,United Kingdom,2022-05-15 00:00:00.000000
65,charlie_k_65,Cyberdyne Systems,Basic,Singapore,2025-11-28 00:00:00.000000
66,charlie_k_66,Vehement Capital,Enterprise,Germany,2023-07-31 00:00:00.000000
67,jack_r_67,Hooli,Premium,France,2022-01-04 00:00:00.000000
68,david.l_68,Initech,Basic,India,2023-12-08 00:00:00.000000
69,alice_w_38,Wayne Enterprises,Free,Germany,2024-10-02 00:00:00.000000
70,bob.smith_70,Acme Corp,Enterprise,Japan,2025-05-07 00:00:00.000000
71,emma.v_71,Initech,Basic,Australia,2025-05-20 00:00:00.000000
72,charlie_k_72,Cyberdyne Systems,Free,India,2024-12-27 00:00:00.000000
73,iris_p_73,Vehement Capital,Basic,Singapore,2024-06-08 00:00:00.000000
74,emma.v_74,Cyberdyne Systems,Premium,United States,2025-12-22 00:00:00.000000
75,david.l_75,Tyrell Corp,Premium,Australia,2023-08-21 00:00:00.000000
76,cléo.b_76,Tyrell Corp,Basic,India,2025-06-21 00:00:00.000000
77,frank_g_77,Acme Corp,Basic,United Kingdom,2022-10-31 00:00:00.000000
78,alice_w_60,Vehement Capital,Basic,Japan,2025-12-18 00:00:00.000000
79,iris_p_79,Stark Industries,Basic,Australia,2022-09-08 00:00:00.000000
80,jack_r_80,Unknowm,Enterprise,Germany,2024-01-16 00:00:00.000000
81,jack_r_81,Hooli,Enterprise,Singapore,2024-05-20 00:00:00.000000
82,bob.smith_82,Globex,Premium,Japan,2023-01-13 00:00:00.000000
83,iris_p_83,Cyberdyne Systems,Premium,United States,2023-10-14 00:00:00.000000
84,charlie_k_84,Umbrella Corp,Enterprise,Germany,2024-05-18 00:00:00.000000
85,emma.v_85,Stark Industries,Premium,United States,2024-05-05 00:00:00.000000
86,grace_h_86,Cyberdyne Systems,Basic,Brazil,2024-05-02 00:00:00.000000
87,charlie_k_87,Globex,Basic,France,2023-11-04 00:00:00.000000
88,david.l_88,Globex,Enterprise,Singapore,2025-11-06 00:00:00.000000
89,david.l_89,Unknowm,Unknown,Canada,2023-07-18 00:00:00.000000
90,charlie_k_90,Cyberdyne Systems,Premium,Japan,2023-01-09 00:00:00.000000
91,bob.smith_91,Globex,Free,United States,2024-08-04 00:00:00.000000
92,jack_r_92,Globex,Enterprise,Australia,2025-06-02 00:00:00.000000
93,iris_p_93,Stark Industries,Premium,Australia,2023-04-18 00:00:00.000000
94,frank_g_94,Tyrell Corp,Enterprise,Australia,2023-11-13 00:00:00.000000
95,emma.v_95,Initech,Enterprise,Australia,2023-10-13 00:00:00.000000
96,charlie_k_96,Vehement Capital,Free,Japan,2025-06-04 00:00:00.000000
97,henry.m_97,Initech,Enterprise,United States,2023-08-17 00:00:00.000000
98,emma.v_98,Acme Corp,Basic,Brazil,2024-06-21 00:00:00.000000
99,alice_w_99,Vehement Capital,Basic,United Kingdom,2025-03-14 00:00:00.000000
100,jack_r_100,Tyrell Corp,Basic,Brazil,2025-02-25 00:00:00.000000
101,jack_r_101,Wayne Enterprises,Enterprise,Singapore,2023-05-07 00:00:00.000000
102,david.l_102,Unknowm,Basic,United Kingdom,2024-10-01 00:00:00.000000
103,alice_w_103,Acme Corp,Premium,France,2022-06-26 00:00:00.000000
104,david.l_104,Cyberdyne Systems,Premium,Australia,2022-11-11 00:00:00.000000
105,frank_g_105,Globex,Free,Singapore,2023-02-02 00:00:00.000000
106,grace_h_106,Stark Industries,Free,Australia,2024-03-03 00:00:00.000000
107,charlie_k_107,Acme Corp,Basic,Germany,2023-04-17 00:00:00.000000
108,henry.m_108,Acme Corp,Basic,United States,2023-09-06 00:00:00.000000
109,bob.smith_109,Stark Industries,Free,Canada,2022-06-04 00:00:00.000000
110,bob.smith_110,Tyrell Corp,Free,Brazil,2022-12-21 00:00:00.000000
111,bob.smith_111,Tyrell Corp,Basic,Singapore,2025-03-22 00:00:00.000000
112,bob.smith_39,Vehement Capital,Free,United Kingdom,2024-10-05 00:00:00.000000
113,iris_p_113,Tyrell Corp,Free,France,2023-07-25 00:00:00.000000
114,jack_r_114,Cyberdyne Systems,Basic,Japan,2023-05-25 00:00:00.000000
115,charlie_k_115,Stark Industries,Basic,India,2025-09-28 00:00:00.000000
116,henry.m_116,Tyrell Corp,Basic,United Kingdom,2024-09-23 00:00:00.000000
117,iris_p_117,Hooli,Premium,United States,2024-05-20 00:00:00.000000
118,charlie_k_118,Umbrella Corp,Free,Canada,2024-06-25 00:00:00.000000
119,david.l_119,Acme Corp,Basic,Germany,2025-02-18 00:00:00.000000
120,cléo.b_120,Initech,Premium,United Kingdom,2024-02-23 00:00:00.000000
121,jack_r_121,Acme Corp,Basic,Germany,2022-09-28 00:00:00.000000
122,jack_r_122,Globex,Free,India,2022-05-01 00:00:00.000000
123,jack_r_123,Cyberdyne Systems,Basic,Singapore,2025-09-24 00:00:00.000000
124,bob.smith_124,Hooli,Free,France,2022-06-26 00:00:00.000000
125,frank_g_125,Stark Industries,Basic,Brazil,2023-04-21 00:00:00.000000
126,alice_w_126,Globex,Basic,France,2023-10-10 00:00:00.000000
127,jack_r_127,Initech,Enterprise,United Kingdom,2025-09-18 00:00:00.000000
128,bob.smith_128,Initech,Premium,Canada,2024-08-23 00:00:00.000000
129,henry.m_129,Cyberdyne Systems,Basic,France,2023-05-23 00:00:00.000000
130,frank_g_130,Cyberdyne Systems,Enterprise,Canada,2022-10-03 00:00:00.000000
131,grace_h_131,Tyrell Corp,Basic,France,2024-05-20 00:00:00.000000
